EncuestaID,SnackID
1,1
1,2
1,3
2,4
2,5
3,4
3,6
3,7
4,6
4,5
5,3
5,1
6,5
7,4
8,2
8,3
8,6
9,3
10,8
10,6
10,9
11,9
12,1
13,1
13,9
13,3
14,7
15,8
15,5
15,4
16,4
16,1
17,2
17,9
17,1
18,10
18,5
19,5
19,8
20,2
20,10
20,1
21,4
21,1
21,6
22,6
22,7
23,1
24,10
24,4
25,1
25,10
26,4
26,1
27,4
28,8
29,9
30,1
30,10
31,6
31,5
32,7
32,6
32,9
33,10
33,5
33,3
34,5
35,6
36,3
36,4
37,4
37,10
37,6
38,1
38,8
39,4
39,3
39,1
40,6
40,4
40,1
41,10
42,2
42,3
43,8
44,8
45,5
45,10
45,3
46,2
46,6
46,1
47,6
47,9
48,5
49,5
50,4
50,6
51,10
51,6
51,9
52,1
53,1
53,5
53,9
54,5
54,9
55,7
56,10
57,4
57,10
57,9
58,5
58,4
58,9
59,2
60,5
61,5
62,2
63,7
63,4
64,9
64,1
64,5
65,10
65,4
66,9
67,10
67,7
67,1
68,4
68,9
69,1
70,1
70,6
71,1
72,4
72,7
73,4
73,2
74,6
75,3
75,1
75,10
76,5
77,3
77,5
77,4
78,5
78,10
79,3
80,9
80,5
81,1
81,6
82,3
82,9
83,9
83,5
83,1
84,7
84,10
84,5
85,10
85,6
85,1
86,9
86,2
87,4
87,6
87,5
88,5
88,6
89,5
89,6
90,3
90,6
90,2
91,7
91,6
92,5
93,7
93,9
93,3
94,6
95,6
95,5
96,8
97,7
97,5
97,3
98,9
98,10
99,1
100,10
101,7
101,10
101,6
102,1
102,6
103,6
104,3
105,4
105,3
105,5
106,5
107,8
108,9
109,9
109,4
109,10
110,2
110,6
110,7
111,4
111,5
111,2
112,6
113,9
114,3
114,10
114,5
115,9
115,1
116,9
116,5
116,4
117,10
117,6
117,5
118,1
119,10
119,1
120,4
120,1
120,10
121,5
122,6
122,7
123,10
123,9
124,6
124,10
124,7
125,6
126,3
127,1
127,7
127,6
128,5
128,1
128,9
129,7
129,5
129,10
130,3
131,10
132,10
132,3
132,9
133,5
133,10
133,6
134,9
134,10
135,3
135,2
136,10
136,2
136,1
137,9
138,2
139,9
140,5
140,10
141,10
141,6
142,1
142,4
142,8
143,6
144,5
145,4
146,4
146,2
147,7
148,3
148,7
148,10
149,9
149,6
150,6
151,3
151,6
152,2
152,9
152,8
153,5
154,5
154,9
155,10
155,1
156,5
156,10
156,1
157,5
158,6
158,8
159,6
160,2
160,3
161,1
162,8
163,1
163,4
163,10
164,9
164,7
164,10
165,9
165,10
166,5
166,10
166,1
167,10
167,9
167,5
168,9
168,1
168,5
169,2
169,3
170,2
171,6
171,4
172,3
173,6
173,10
173,9
174,1
175,10
176,2
177,4
177,9
177,5
178,9
179,9
180,2
180,7
181,2
181,8
181,4
182,10
182,4
183,5
184,3
184,7
184,5
185,6
186,6
186,2
186,10
187,9
187,2
188,4
188,6
188,5
189,3
190,4
190,6
190,10
191,3
192,6
192,5
193,10
193,7
193,1
194,6
194,9
194,3
195,2
196,4
196,10
197,4
198,10
199,6
199,8
199,2
200,9
200,5
200,3
201,1
201,5
202,8
203,10
203,5
203,6
204,2
204,6
204,3
205,1
205,9
206,8
206,4
206,5
207,5
207,6
207,2
208,10
208,6
208,7
209,5
210,4
210,10
210,6
211,10
212,8
212,3
212,9
213,9
214,9
215,7
215,4
216,4
216,6
216,2
217,5
217,9
218,9
219,6
220,5
221,10
221,1
222,7
222,10
223,9
224,6
224,10
225,10
225,6
225,1
226,9
226,1
226,3
227,6
228,5
229,8
230,2
230,9
231,8
231,2
231,9
232,8
232,5
233,2
233,10
234,8
234,2
235,6
235,9
236,8
237,10
237,4
238,6
238,10
238,8
239,5
239,10
240,5
240,1
240,10
241,3
241,7
242,9
242,10
242,8
243,4
243,10
244,1
244,6
245,5
245,8
245,4
246,4
247,2
247,7
248,7
249,8
250,1
251,10
251,1
251,9
252,7
252,5
253,2
253,6
254,9
254,10
254,8
255,9
255,6
256,5
256,8
257,6
257,3
257,1
258,10
258,3
259,6
259,10
259,4
260,1
261,4
261,9
262,6
262,2
262,10
263,5
263,10
263,8
264,10
264,9
264,4
265,9
265,2
265,3
266,3
266,10
266,9
267,4
267,9
267,1
268,1
269,5
269,8
270,8
270,3
271,4
272,6
272,4
273,3
273,1
273,10
274,1
274,5
274,10
275,9
275,5
275,3
276,3
276,5
276,2
277,5
277,4
277,6
278,7
278,9
279,3
279,10
280,1
280,5
280,10
281,2
281,3
281,4
282,6
282,8
282,2
283,2
284,2
284,7
284,10
285,5
286,5
286,6
286,9
287,2
287,6
287,9
288,5
288,2
289,10
290,6
290,3
290,5
291,2
291,5
1595,1
1595,4
293,6
293,9
293,4
294,2
294,5
295,6
296,6
296,9
297,1
297,5
297,8
298,3
298,2
298,4
299,3
299,10
299,4
300,3
301,4
301,2
302,1
302,2
302,3
303,7
303,10
303,1
304,2
304,3
305,4
305,9
306,10
306,5
306,2
307,6
307,8
308,10
308,4
308,6
309,1
309,3
309,8
310,6
311,2
311,1
312,4
312,3
313,9
313,1
313,5
314,3
314,2
314,6
315,1
315,6
315,5
316,7
316,6
316,10
317,3
317,4
318,10
319,9
320,3
320,9
320,4
321,1
322,8
322,6
323,2
323,3
324,9
325,2
325,1
325,8
326,8
326,10
326,3
327,4
328,10
328,6
328,4
329,8
329,6
330,5
330,1
330,2
331,10
331,3
331,9
332,1
332,10
332,9
333,10
334,2
334,4
335,4
335,9
335,3
336,5
337,6
338,6
339,1
339,5
339,2
340,9
341,10
341,9
342,1
343,7
343,5
344,1
345,9
345,3
346,2
346,10
346,7
347,10
347,5
347,6
348,6
1960,1
1960,9
1960,8
350,3
350,9
350,1
351,6
351,4
352,10
352,1
353,4
353,1
354,10
354,9
354,3
355,4
355,1
356,2
356,7
356,6
357,9
358,3
358,1
358,10
359,6
359,5
360,4
360,5
360,3
361,6
362,10
362,6
363,9
364,6
364,10
365,4
365,8
365,3
366,1
366,5
367,6
367,9
367,7
368,1
369,8
370,5
371,6
371,4
372,4
372,8
372,5
373,4
373,9
373,1
374,1
374,9
375,1
375,10
375,9
376,4
376,10
377,2
377,10
377,7
378,8
378,5
379,1
380,6
381,10
381,3
381,9
382,6
383,4
384,2
385,5
385,6
385,2
386,9
386,7
386,5
387,10
387,1
387,5
388,4
389,3
389,9
389,4
390,10
390,5
390,6
391,9
392,9
392,7
392,10
393,5
393,6
393,8
394,6
394,9
395,5
395,9
395,8
396,4
396,1
397,7
397,9
398,7
398,1
399,9
400,5
401,7
401,10
401,6
402,6
402,1
403,5
403,10
404,9
405,9
405,1
406,4
406,1
406,6
407,6
408,9
409,1
410,8
411,10
411,5
412,10
412,1
412,6
413,4
413,9
413,3
414,8
415,9
416,10
416,3
416,6
417,9
417,7
418,1
420,6
421,9
421,8
422,9
423,5
423,3
424,4
424,5
424,3
425,5
426,6
426,9
427,5
427,10
428,9
428,10
429,5
430,3
430,2
430,10
431,5
431,10
431,1
432,2
433,5
434,8
434,9
435,7
435,6
436,6
436,10
437,5
437,8
438,3
439,9
440,9
440,3
441,5
441,6
442,8
442,9
442,3
443,8
443,5
443,9
444,1
445,5
445,9
446,5
447,5
447,9
448,10
449,1
449,6
1193,10
1193,3
451,9
451,7
451,5
452,1
453,5
453,9
453,6
454,2
454,4
455,10
456,1
456,3
456,5
457,5
457,2
458,4
459,7
459,10
459,9
460,1
461,10
461,9
462,10
462,9
462,5
463,4
1049,4
1049,3
465,4
465,10
465,5
466,6
466,5
466,9
467,9
467,6
468,10
468,8
469,7
469,5
469,1
470,4
470,3
470,2
471,10
471,4
472,2
473,6
2439,5
2439,2
475,1
476,9
476,6
476,5
477,1
478,1
478,8
479,4
479,6
479,10
480,3
480,4
480,9
481,6
481,5
482,4
482,3
483,6
483,5
483,7
484,5
484,2
484,10
485,9
485,1
486,9
486,3
486,4
487,5
487,10
487,4
488,1
488,10
489,8
489,3
490,3
490,4
490,1
491,7
491,6
492,1
492,5
493,6
494,10
494,5
494,1
495,4
495,10
496,1
496,9
497,10
498,3
498,10
498,9
499,4
499,2
500,4
500,3
500,1
501,7
502,5
503,9
503,10
504,10
504,6
504,1
505,7
506,9
506,3
506,1
507,2
507,3
507,10
508,1
508,2
509,4
509,9
510,10
510,3
510,2
511,2
512,1
512,8
512,7
513,5
513,6
514,2
514,6
515,5
515,2
515,3
516,4
516,5
516,2
517,7
518,8
518,2
518,5
519,5
519,4
519,6
520,5
521,10
522,2
522,8
522,10
523,3
523,5
523,6
524,8
524,5
525,1
525,2
525,6
526,1
526,9
527,2
527,1
528,9
529,1
529,5
530,1
531,2
531,10
531,6
532,9
532,3
533,9
534,7
535,5
536,6
536,5
537,10
537,1
537,3
538,1
539,1
539,8
540,5
540,8
541,2
542,7
543,7
543,2
543,4
544,5
545,10
545,3
546,5
547,10
547,6
547,9
548,4
548,5
549,1
549,10
550,5
550,10
550,6
551,5
551,6
551,4
552,4
553,10
553,6
553,5
554,1
554,10
554,2
555,5
556,1
556,5
556,10
557,7
557,4
557,5
558,9
559,4
560,4
560,2
561,10
561,3
561,1
562,10
562,3
563,6
563,4
563,5
564,1
564,8
565,5
566,5
566,4
566,10
567,8
568,5
568,6
568,10
569,5
570,7
570,10
571,2
572,3
573,6
574,1
574,7
575,8
575,7
576,3
576,8
577,5
577,6
577,8
578,1
579,10
579,8
580,4
580,2
580,1
581,9
581,4
582,1
583,3
583,9
584,4
584,2
584,9
585,9
586,6
586,5
587,10
587,5
588,3
589,2
590,5
590,3
591,7
591,4
592,4
593,9
593,4
593,3
594,1
594,4
595,3
595,4
595,2
596,6
596,10
596,1
597,1
598,1
598,10
599,9
599,10
599,8
600,6
600,9
600,3
601,7
602,8
603,3
604,1
604,6
604,5
605,5
605,3
605,1
606,2
606,1
607,6
607,10
608,5
608,10
608,6
609,3
1416,1
1416,10
1416,7
611,6
612,2
613,8
613,9
613,2
614,4
614,3
614,5
615,5
615,7
1472,10
1472,3
617,10
617,5
618,5
618,6
618,10
619,6
619,5
620,2
621,10
622,1
623,8
623,5
623,6
624,9
624,3
625,9
625,10
625,1
626,9
626,7
626,3
627,6
628,10
629,3
630,1
630,5
630,8
631,8
631,4
631,9
632,4
633,5
634,10
634,2
634,6
635,10
635,3
635,2
636,5
637,9
637,10
637,1
638,5
638,9
639,5
639,7
639,3
640,10
641,6
641,9
641,10
642,8
642,2
643,3
644,6
644,4
645,1
646,2
646,3
647,6
647,1
648,3
649,9
649,5
649,10
650,10
651,1
652,1
652,4
652,9
653,6
654,4
654,9
655,2
655,4
656,5
656,2
656,4
657,5
657,4
658,1
658,5
658,2
659,7
660,4
660,9
660,1
661,3
661,6
662,6
662,2
662,5
663,9
664,1
664,10
664,6
665,9
665,4
666,1
666,9
667,2
667,10
667,5
668,4
669,8
669,4
670,1
670,10
670,7
671,1
672,5
672,3
672,2
673,6
674,9
674,2
675,1
676,6
676,3
677,3
678,6
678,10
679,5
680,4
681,10
681,9
681,5
682,6
683,1
683,3
683,10
684,10
684,7
684,2
685,1
685,10
686,2
686,5
687,9
688,5
688,8
689,4
1961,3
1961,6
691,2
691,9
692,5
693,1
693,10
694,10
695,4
695,10
695,9
696,10
697,1
698,1
699,9
699,7
700,9
700,2
701,5
702,2
702,4
702,10
703,10
704,2
704,9
705,3
705,9
705,6
706,9
707,3
707,5
707,7
708,5
708,8
708,1
709,5
709,2
710,2
710,1
710,10
711,1
711,8
712,10
712,4
713,4
713,10
713,5
714,6
715,10
716,3
717,4
718,2
718,5
719,1
719,6
720,10
721,10
721,5
722,1
722,4
722,9
723,10
723,1
724,10
724,2
724,1
725,10
725,4
726,4
726,5
726,9
727,1
727,9
727,10
728,3
728,5
729,6
729,9
729,3
730,6
730,3
730,9
731,3
731,5
732,5
733,1
733,10
734,10
734,5
734,8
735,8
735,9
735,10
736,5
736,9
736,3
737,9
737,4
737,1
738,4
738,9
738,3
739,4
740,2
740,8
740,9
741,9
741,5
741,1
742,9
742,10
743,1
744,5
744,4
744,3
745,10
745,9
745,5
746,10
746,2
746,1
747,9
748,10
748,6
749,6
749,9
749,10
750,10
750,5
751,5
751,9
752,2
752,5
753,5
753,9
754,2
754,5
755,5
755,9
755,10
756,5
757,9
757,6
757,4
758,4
758,9
759,5
759,9
759,1
760,2
760,1
760,10
761,9
762,9
762,5
762,2
763,1
763,9
763,4
764,6
764,8
765,6
766,7
767,2
767,9
768,3
769,4
769,1
769,9
770,9
770,2
770,10
771,2
771,6
771,10
772,10
773,9
774,10
774,9
774,3
775,10
776,1
776,6
776,5
777,5
778,1
778,10
779,1
779,5
779,4
780,2
780,6
780,1
781,4
781,2
782,10
783,1
783,2
784,8
784,6
785,7
786,5
786,9
786,6
787,7
788,9
788,10
788,8
789,10
789,4
789,1
790,9
790,1
791,10
791,8
792,9
792,6
793,7
793,3
793,6
794,6
794,9
795,2
796,10
797,9
798,9
798,6
799,3
800,6
800,9
801,5
801,10
801,3
802,10
802,7
802,5
803,8
803,10
