GeografiaID,Departamento,Municipio
1,Guatemala,Santa Catarina Pinula
2,Alta Verapaz,Alta Verapaz
3,Guatemala,San Miguel Petapa
4,Quetzaltenango,Olintepeque
5,Sacatepéquez,Ciudad Vieja
6,Guatemala,Villa Nueva
7,Chimaltenango,Chimaltenango
8,Guatemala,Guatemala
9,Suchitepéquez,Suchitepéquez
10,Quetzaltenango,Quetzaltenango
11,Chiquimula,Chiquimula
12,Quiché,Otro Municipio
13,Retalhuleu,Otro Municipio
14,Sacatepéquez,Jocotenango
15,Santa Rosa,Otro Municipio
16,Jutiapa,Jutiapa
17,Jalapa,Otro Municipio
18,Petén,Poptún
19,Chimaltenango,Tecpán Guatemala
20,Escuintla,Santa Lucía Cotzumalguapa
21,Escuintla,Escuintla
22,El Progreso,Cabecera Municipal
23,Chiquimula,Cabecera Municipal
24,Quiché,Cabecera Municipal
25,Guatemala,Mixco
26,Totonicapán,Totonicapán
27,Sololá,Otro Municipio
28,Quetzaltenango,No Especificado
29,Quetzaltenango,Coatepeque
30,Escuintla,Palín
31,San Marcos,Otro Municipio
32,El Progreso,El Progreso
33,Guatemala,No Especificado
34,Petén,Flores
35,Alta Verapaz,Cabecera Municipal
36,Totonicapán,Otro Municipio
37,Alta Verapaz,Otro Municipio
38,El Progreso,Otro Municipio
39,Sololá,Cabecera Municipal
40,Izabal,Izabal
41,Zacapa,Zacapa
42,Huehuetenango,Huehuetenango
43,Sacatepéquez,Antigua Guatemala
44,Retalhuleu,Retalhuleu
45,Zacapa,Cabecera Municipal
46,Sacatepéquez,Sumpango
47,Suchitepéquez,Otro Municipio
48,Chimaltenango,Patzún
49,Huehuetenango,Cabecera Municipal
50,Zacapa,Otro Municipio
51,Chiquimula,Otro Municipio
52,San Marcos,Cabecera Municipal
53,Petén,San Benito
54,Baja Verapaz,Baja Verapaz
55,Huehuetenango,Otro Municipio
56,Izabal,Cabecera Municipal
57,Baja Verapaz,Cabecera Municipal
58,El Progreso,No Especificado
59,Santa Rosa,Cabecera Municipal
60,Jalapa,Cabecera Municipal
61,Suchitepéquez,Cabecera Municipal
62,Escuintla,No Especificado
63,Jalapa,Jalapa
64,Baja Verapaz,No Especificado
65,Santa Rosa,Santa Rosa
66,Quiché,Quiché
67,Sololá,Sololá
68,Baja Verapaz,Otro Municipio
69,San Marcos,San Marcos
70,Jutiapa,Otro Municipio
71,Totonicapán,Cabecera Municipal
72,Suchitepéquez,No Especificado
73,Retalhuleu,Cabecera Municipal
74,Izabal,Otro Municipio
75,Jutiapa,Cabecera Municipal
76,Quiché,No Especificado
77,Huehuetenango,No Especificado
78,Jalapa,No Especificado
79,Totonicapán,No Especificado
80,Sacatepéquez,No Especificado
81,Alta Verapaz,No Especificado
82,Jutiapa,No Especificado
83,Chimaltenango,No Especificado
84,Petén,No Especificado
85,Chiquimula,No Especificado
86,Zacapa,No Especificado
87,Santa Rosa,No Especificado
