ConsumoID,Frecuencia_Consumo,Lugar_Compra_Habitual,Compania_Partidos,Gasto_Snacks_Partido
1,Varias veces al mes,Aplicación de delivery,Amigos,Q25 - Q50
2,1 a 2 veces por semana,Supermercado,Solo,Q51 - Q100
3,Varias veces al mes,Kiosco escolar/universitario,Familia,Q51 - Q100
4,3 a 5 veces por semana,Gasolinera,Solo,Q25 - Q50
5,Varias veces al mes,Tienda de barrio,Amigos,Q51 - Q100
6,1 a 2 veces por semana,Tienda de barrio,Solo,Menos de Q25
7,3 a 5 veces por semana,Aplicación de delivery,Solo,Q51 - Q100
8,3 a 5 veces por semana,Tienda de barrio,Amigos,Q25 - Q50
9,Todos los días,Kiosco escolar/universitario,Familia,Q25 - Q50
10,Varias veces al mes,Tienda de barrio,Familia,Q51 - Q100
11,Todos los días,Otro,Familia,Menos de Q25
12,3 a 5 veces por semana,Tienda de barrio,Compañeros de trabajo,Q51 - Q100
13,3 a 5 veces por semana,Supermercado,Familia,Q101 - Q150
14,3 a 5 veces por semana,Otro,Amigos,Q51 - Q100
15,1 a 2 veces por semana,Tienda de barrio,Compañeros de trabajo,Q51 - Q100
16,1 a 2 veces por semana,Tienda de barrio,Amigos,Q25 - Q50
17,Todos los días,Supermercado,Familia,Más de Q150
18,1 a 2 veces por semana,Kiosco escolar/universitario,Amigos,Q101 - Q150
19,1 a 2 veces por semana,Supermercado,Familia,Q25 - Q50
20,Varias veces al mes,Gasolinera,Amigos,Q51 - Q100
21,1 a 2 veces por semana,Supermercado,Amigos,Q25 - Q50
22,Todos los días,Tienda de barrio,Familia,Q51 - Q100
23,Todos los días,Tienda de barrio,Otro,Q25 - Q50
24,Todos los días,Otro,Amigos,Q101 - Q150
25,3 a 5 veces por semana,Tienda de barrio,Solo,Q51 - Q100
26,Todos los días,Supermercado,Familia,Menos de Q25
27,1 a 2 veces por semana,Aplicación de delivery,Amigos,Menos de Q25
28,Todos los días,Gasolinera,Amigos,Q51 - Q100
29,Todos los días,Tienda de barrio,Amigos,Q25 - Q50
30,1 a 2 veces por semana,Tienda de barrio,Familia,Q51 - Q100
31,Todos los días,Otro,Amigos,Q51 - Q100
32,Varias veces al mes,Supermercado,Familia,Q101 - Q150
33,3 a 5 veces por semana,Supermercado,Solo,Q51 - Q100
34,Rara vez,Aplicación de delivery,Otro,Q51 - Q100
35,Todos los días,Gasolinera,Compañeros de trabajo,Más de Q150
36,3 a 5 veces por semana,No especificado,Familia,Menos de Q25
37,3 a 5 veces por semana,Supermercado,Otro,Q101 - Q150
38,1 a 2 veces por semana,Aplicación de delivery,Amigos,Q51 - Q100
39,Todos los días,Tienda de barrio,Amigos,Menos de Q25
40,1 a 2 veces por semana,Supermercado,Amigos,Q51 - Q100
41,Varias veces al mes,Supermercado,Familia,Q25 - Q50
42,3 a 5 veces por semana,Tienda de barrio,Solo,Q25 - Q50
43,Todos los días,Tienda de barrio,Familia,Q25 - Q50
44,1 a 2 veces por semana,Aplicación de delivery,Otro,Q101 - Q150
45,Rara vez,Otro,Familia,Menos de Q25
46,1 a 2 veces por semana,Tienda de barrio,Familia,Más de Q150
47,Rara vez,Gasolinera,Compañeros de trabajo,Q51 - Q100
48,3 a 5 veces por semana,Tienda de barrio,Familia,Q51 - Q100
49,Varias veces al mes,Gasolinera,Familia,Q51 - Q100
50,1 a 2 veces por semana,Tienda de barrio,Familia,Q25 - Q50
51,1 a 2 veces por semana,Otro,Amigos,Menos de Q25
52,3 a 5 veces por semana,Otro,Familia,Q101 - Q150
53,3 a 5 veces por semana,Tienda de barrio,Amigos,Q51 - Q100
54,3 a 5 veces por semana,No especificado,Compañeros de trabajo,Menos de Q25
55,Varias veces al mes,Gasolinera,Compañeros de trabajo,Q101 - Q150
56,1 a 2 veces por semana,Supermercado,Compañeros de trabajo,Q51 - Q100
57,3 a 5 veces por semana,Kiosco escolar/universitario,Familia,Q25 - Q50
58,Varias veces al mes,Tienda de barrio,Solo,Q25 - Q50
59,1 a 2 veces por semana,Kiosco escolar/universitario,Otro,Q51 - Q100
60,3 a 5 veces por semana,Supermercado,Amigos,Q51 - Q100
61,1 a 2 veces por semana,Gasolinera,Amigos,Q25 - Q50
62,3 a 5 veces por semana,Supermercado,Familia,Menos de Q25
63,3 a 5 veces por semana,Tienda de barrio,Familia,Más de Q150
64,Varias veces al mes,Tienda de barrio,Amigos,Q25 - Q50
65,3 a 5 veces por semana,Supermercado,Familia,Q25 - Q50
66,1 a 2 veces por semana,Tienda de barrio,Otro,Menos de Q25
67,1 a 2 veces por semana,Supermercado,Familia,Menos de Q25
68,1 a 2 veces por semana,Supermercado,Amigos,Menos de Q25
69,Varias veces al mes,Kiosco escolar/universitario,Familia,Menos de Q25
70,Rara vez,Gasolinera,Familia,Q51 - Q100
71,Varias veces al mes,Supermercado,Compañeros de trabajo,Más de Q150
72,1 a 2 veces por semana,Tienda de barrio,Otro,Q51 - Q100
73,1 a 2 veces por semana,Aplicación de delivery,Amigos,Más de Q150
74,Todos los días,Aplicación de delivery,Familia,Q25 - Q50
