MarketingID,Equipo_Favorito,Compra_Diseno_Seleccion,Seleccion_Influye_Compra,Tipo_Publicidad,Tipo_Promocion,Sigue_Mundial_2026,Compraria_Tarjetas_Coleccionables
1,Portugal,Probablemente sí,Portugal,Una selección nacional,Sorteo de viajes,Sí,Sí
2,Portugal,Probablemente no,Suecia,Una selección nacional,Producto gratis,Sí,Sí
3,España,Probablemente sí,Portugal,Un jugador famoso,Descuento directo,Sí,No
4,Inglaterra,Probablemente no,España,Premios y sorteos,2x1,No,Sí
5,España,Tal vez,Qatar,Un jugador famoso,Tarjetas coleccionables,No,No
6,Estados Unidos,Probablemente sí,Estados Unidos,Una selección nacional,Tarjetas coleccionables,Sí,Sí
7,Francia,Tal vez,Francia,Premios y sorteos,2x1,Sí,Sí
8,Nueva Zelanda,Tal vez,Portugal,Una selección nacional,Tarjetas coleccionables,Sí,No
9,Brasil,Tal vez,Brasil,Un jugador famoso,Sorteo de balones,Sí,No
10,Portugal,Tal vez,Colombia,Un jugador famoso,Tarjetas coleccionables,Sí,No
11,Estados Unidos,Probablemente sí,Czechia,Una selección nacional,2x1,No,Sí
12,Argentina,Probablemente sí,Argentina,Un jugador famoso,Descuento directo,Sí,Sí
13,Argentina,Tal vez,Argentina,Historias de aficionados,2x1,Sí,No
14,Argentina,Tal vez,Brasil,Un jugador famoso,2x1,Sí,No
15,Inglaterra,Probablemente sí,Portugal,Un jugador famoso,Producto gratis,Sí,Sí
16,Brasil,Probablemente sí,Portugal,Premios y sorteos,Tarjetas coleccionables,Sí,Sí
17,México,Tal vez,España,Historias de aficionados,2x1,Sí,Sí
18,Brasil,Probablemente sí,Brasil,Humor,Sorteo de viajes,Sí,Sí
19,Australia,Probablemente sí,España,Un jugador famoso,Producto gratis,Sí,Sí
20,Estados Unidos,Definitivamente sí,Inglaterra,Premios y sorteos,Sorteo de viajes,Sí,Sí
21,Brasil,Probablemente sí,Inglaterra,Historias de aficionados,Sorteo de camisetas,Sí,No
22,Irán,Probablemente no,Brasil,Historias de aficionados,Tarjetas coleccionables,Sí,No
23,Estados Unidos,Tal vez,Inglaterra,Humor,Descuento directo,Sí,Sí
24,Brasil,Tal vez,Francia,Historias de aficionados,Sorteo de viajes,Sí,No
25,Portugal,Definitivamente sí,México,Premios y sorteos,Descuento directo,Sí,Sí
26,España,Definitivamente sí,Inglaterra,Humor,2x1,Sí,No
27,Brasil,Definitivamente sí,Argentina,Premios y sorteos,Descuento directo,No,Sí
28,México,Tal vez,México,Historias de aficionados,Producto gratis,Sí,Sí
29,España,Definitivamente sí,México,Historias de aficionados,Producto gratis,Sí,Sí
30,Brasil,Probablemente sí,Argentina,Un jugador famoso,Descuento directo,Sí,No
31,Corea del Sur,Definitivamente sí,Estados Unidos,Premios y sorteos,Producto gratis,Sí,Sí
32, ESTADOS UNIDOS ,Probablemente sí,Brasil,Humor,2x1,Sí,No
33, FRANCIA ,Tal vez,Inglaterra,Historias de aficionados,2x1,Sí,No
34,Noruega,Probablemente sí,Francia,Una selección nacional,Producto gratis,Sí,Sí
35,Brasil,Probablemente sí, PORTUGAL ,Historias de aficionados,Sorteo de viajes,Sí,No
36,Argentina,Definitivamente sí,Jordania,Una selección nacional,Sorteo de camisetas,Sí,Sí
