ProductoID,Sabor_Preferido,Precio_Ideal,Presentacion_Preferida,Paga_Mas_Edicion_Especial
1, DULCE ,Q10 - Q15,Familiar,Sí
2,Caramelo,Q21 - Q30,Familiar,Sí
3,Picante Chapín,Q16 - Q20,Familiar,Sí
4,Limón,Q16 - Q20,Familiar,Sí
5,Queso,Q16 - Q20,Para compartir entre 2 personas,No
6,Jalapeño,Q21 - Q30,Para compartir entre 2 personas,Sí
7,Dulce,Q16 - Q20,Individual,No
8,Chocolate,Más de Q30,Para compartir entre 2 personas,No
9,Dulce,Q10 - Q15,Familiar,No
10,Barbacoa,Más de Q30,Para compartir entre 2 personas,No
11,Queso,Q16 - Q20,Individual,Sí
12,Limón,Q16 - Q20,Tamaño fiesta o reunión,Sí
13,Queso,Más de Q30,Tamaño fiesta o reunión,No
14,Jalapeño,Q10 - Q15,Individual,Sí
15,Barbacoa,Q16 - Q20,Tamaño fiesta o reunión,Sí
16, LIMÓN ,Q16 - Q20,Para compartir entre 2 personas,Sí
17,Barbacoa,Q21 - Q30,Individual,Sí
18,Picante Chapín,Más de Q30,Para compartir entre 2 personas,Sí
19,Queso,Q16 - Q20,Familiar,Sí
20,Barbacoa,Q21 - Q30,Familiar,Sí
21,Caramelo,Q16 - Q20,Familiar,Sí
22,Queso,Q21 - Q30,Familiar,No
23,Picante Chapín,Q21 - Q30,Para compartir entre 2 personas,Sí
24,Chocolate,Q21 - Q30,Familiar,Sí
25,Salado Tradicional,Q10 - Q15,Individual,No
26,Barbacoa,Q16 - Q20,Familiar,No
27,Dulce,Q16 - Q20,Familiar,Sí
28,Picante Chapín,Q16 - Q20,Tamaño fiesta o reunión,No
29,Limón,Q21 - Q30,Para compartir entre 2 personas,Sí
30,Jalapeño,Q16 - Q20,Para compartir entre 2 personas,No
31,Jalapeño,Q10 - Q15,Para compartir entre 2 personas,No
32,No especificado,Q21 - Q30,Familiar,Sí
33,Jalapeño,Q16 - Q20,Familiar,Sí
34,Limón,Q10 - Q15,Individual,No
35,Limón,Más de Q30,Individual,Sí
36,Limón,Q10 - Q15,Para compartir entre 2 personas,Sí
37,Queso,Q21 - Q30,Familiar,Sí
38,Salado Tradicional,Más de Q30,Individual,Sí
39,Caramelo,Q16 - Q20,Familiar,No
40,Queso,Q10 - Q15,Familiar,No
41,Picante Chapín,Más de Q30,Para compartir entre 2 personas,No
42,Limón,Q10 - Q15,Individual,Sí
43,Queso,Más de Q30,Individual,Sí
44,Queso,Más de Q30,Familiar,Sí
45,Picante Chapín,Q16 - Q20,Para compartir entre 2 personas,No
46,Salado Tradicional,Q21 - Q30,Tamaño fiesta o reunión,Sí
47,Queso,Menos de Q10,Tamaño fiesta o reunión,Sí
48,Queso,Q16 - Q20,Individual,No
49,Caramelo,Q10 - Q15,Familiar,Sí
50,Queso,Q10 - Q15,Para compartir entre 2 personas,No
51,Picante Chapín,Q16 - Q20,Para compartir entre 2 personas,Sí
52,Jalapeño,Menos de Q10,Familiar,Sí
53,Picante Chapín,Q16 - Q20,Familiar,No
54,Barbacoa,Q21 - Q30,Individual,No
55,Barbacoa,Menos de Q10,Individual,Sí
56,Salado Tradicional,Q10 - Q15,Tamaño fiesta o reunión,No
57,Limón,Q16 - Q20,Individual,Sí
58,Salado Tradicional,Q16 - Q20,Familiar,Sí
59,Limón,Q10 - Q15,Tamaño fiesta o reunión,Sí
60,Limón,Q10 - Q15,Familiar,Sí
61,Chocolate,Q10 - Q15,Familiar,Sí
62,Limón,Menos de Q10,Para compartir entre 2 personas,No
63,Salado Tradicional,Q10 - Q15,Tamaño fiesta o reunión,Sí
64,Caramelo,Q16 - Q20,Individual,No
65,Chocolate,Menos de Q10,Individual,No
66,Caramelo,Q21 - Q30,Individual,Sí
67,Picante Chapín,Q16 - Q20,Individual,Sí
68,Picante Chapín,No especificado,Individual,Sí
69,Salado Tradicional,Q16 - Q20,Para compartir entre 2 personas,No
70, CARAMELO ,Q16 - Q20,Individual,Sí
71,Jalapeño,Q16 - Q20,Para compartir entre 2 personas,Sí
72, BARBACOA ,Q21 - Q30,Familiar,No
73,Picante Chapín,Q21 - Q30,Tamaño fiesta o reunión,Sí
74,Picante Chapín,Q10 - Q15,Tamaño fiesta o reunión,Sí
75,Queso,Más de Q30,Familiar,No
76,Jalapeño,Q10 - Q15,Tamaño fiesta o reunión,Sí
77,Limón,Más de Q30,Tamaño fiesta o reunión,No
78,Queso,Q21 - Q30,Tamaño fiesta o reunión,No
79,Chocolate,Q21 - Q30,Individual,No
80,Limón,Menos de Q10,Individual,Sí
81,Jalapeño,Menos de Q10,Para compartir entre 2 personas,Sí
82,Picante Chapín,Q16 - Q20,Tamaño fiesta o reunión,Sí
83,Barbacoa,Q16 - Q20,Individual,Sí
84,Dulce,Q21 - Q30,Individual,No
